1,OCC,rate,medsal,name,category
395,3220,42.6,51616,Respiratory Therapists,Healthcare
396,3230,23.2,54801,Speech Language Pathologists,Healthcare
397,3245,34.3,38000,"Other Therapists, Including Exercise Physiologists",Healthcare
398,3250,23.9,79041,Veterinarians,Healthcare
399,3255,36.7,55964,Registered nurses,Healthcare
400,3256,30.7,142455,Nurse anesthetists,Healthcare
401,3258,33.2,86490,Nurse practitioners and nurse midwives,Healthcare
402,3260,40.5,36126,"Health Diagnosing and Treating Practitioners, All Other",Healthcare
403,3300,34.7,40000,Clinical Laboratory Technologists and Technicians,Healthcare
404,3310,31.5,43754,Dental Hygienists,Healthcare
405,3320,35.6,50000,Diagnostic Related Technologists and Technicians,Healthcare
406,3400,41.6,35614,Emergency Medical Technicians and Paramedics,Healthcare
407,3420,36,26347,Health practitioner support technologists and technicians ,Healthcare
408,3500,47,33034,Licensed Practical and Licensed Vocational Nurses,Healthcare
409,3510,41.6,30035,Medical Records and Health Information Technicians,Healthcare
410,3520,42.7,31544,"Opticians, Dispensing",Healthcare
411,3535,39.8,35000,Misc. health technologists and technicians,Healthcare
412,3540,34.8,47500,Other Healthcare Practitioners and Technical Occupations,Healthcare
413,2200,29.7,40701,Postsecondary Teachers,Education and Library
414,2300,26.9,18417,Preschool and Kindergarten Teachers,Education and Library
415,2310,26,44771,Elementary and Middle School Teachers,Education and Library
416,2320,26.8,47424,Secondary School Teachers,Education and Library
417,2330,31.7,42155,Special Education Teachers,Education and Library
418,2340,34.4,15017,Other Teachers and Instructors,Education and Library
419,2400,31.5,37401,"Archivists, Curators, and Museum Technicians",Education and Library
420,2430,29,40000,Librarians,Education and Library
421,2440,33.2,8259,Library Technicians,Education and Library
422,2540,28.5,15017,Teacher Assistants,Education and Library
423,2550,33.7,38706,"Other Education, Training, and Library Workers",Education and Library
424,1005,24.7,81553,Computer and information research scientists,Computers and Mathematics
425,1006,29,72083,Computer systems analysts,Computers and Mathematics
426,1007,33.6,80094,Information security analysts 2 Network systems and data communications analysts,Computers and Mathematics
427,1010,26.5,75000,Computer programmers,Computers and Mathematics
428,1020,20.3,90000,"Software developers, applications and systems software",Computers and Mathematics
429,1030,25.7,49551,Web developers 2 Network systems and data communications analysts,Computers and Mathematics
430,1050,33.7,48000,Computer support specialists 2 Network systems and data communications analysts,Computers and Mathematics
431,1060,29.9,71227,Database Administrators,Computers and Mathematics
432,1106,29.4,90104,Computer network architects,Computers and Mathematics
433,1107,31,61052,"Computer occupations, all other",Computers and Mathematics
434,1200,17,97032,Actuaries,Computers and Mathematics
435,1220,33,73771,Operations Research Analysts,Computers and Mathematics
436,1240,25.8,69000,"Misc. mathematical science occupations, including mathematicians and statisticians",Computers and Mathematics
437,9800,26.2,61052,Military Officer Special and Tactical Operations Leaders,Military
438,9810,37,52000,First-Line Enlisted Military Supervisors ,Military
439,9820,23,21024,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military
440,9830,27.1,36886,"Military, Rank Not Specified",Military
441,1600,25.9,51616,Agricultural and Food Scientists,"Life, Physical, and Social Science"
442,1610,23.7,52912,Biological Scientists,"Life, Physical, and Social Science"
443,1640,24.5,52060,Conservation Scientists and Foresters,"Life, Physical, and Social Science"
444,1650,19.6,65000,"Medical Scientists, and Life Scientists, All Others","Life, Physical, and Social Science"
445,1700,26.2,86490,Astronomers and Physicists,"Life, Physical, and Social Science"
446,1710,25.6,65000,Atmospheric and Space Scientists,"Life, Physical, and Social Science"
447,1720,24,63232,Chemists and Materials Scientists,"Life, Physical, and Social Science"
448,1740,26.8,66068,Environmental Scientists and Geoscientists,"Life, Physical, and Social Science"
449,1760,18.9,61939,"Physical Scientists, All Other","Life, Physical, and Social Science"
450,1800,24.1,99002,Economists,"Life, Physical, and Social Science"
451,1820,36.2,59000,Psychologists,"Life, Physical, and Social Science"
452,1840,27,65067,Urban and Regional Planners,"Life, Physical, and Social Science"
453,1860,31.2,42155,"Misc. Social Scientists, Including Survey Researchers and Sociologists","Life, Physical, and Social Science"
454,1900,35.5,36131,Agricultural and Food Science Technicians,"Life, Physical, and Social Science"
455,1910,33.5,37038,Biological Technicians,"Life, Physical, and Social Science"
456,1920,36.7,45317,Chemical Technicians,"Life, Physical, and Social Science"
457,1930,39.9,61040,Geological and Petroleum Technicians,"Life, Physical, and Social Science"
458,1965,33.6,25808,"Misc. Life, Physical, and Social Science Technicians","Life, Physical, and Social Science"
459,1300,25,65340,"Architects, Except Naval",Architecture and Engineering
460,1310,29,49056,"Surveyors, Cartographers, and Photogrammetrists",Architecture and Engineering
461,1320,25.5,95000,Aerospace Engineers,Architecture and Engineering
462,1340,22,75086,Biomedical and agricultural engineers,Architecture and Engineering
463,1350,21.1,92908,Chemical Engineers,Architecture and Engineering
464,1360,24,76391,Civil Engineers,Architecture and Engineering
465,1400,25.3,87100,Computer Hardware Engineers,Architecture and Engineering
466,1410,25.1,87747,Electrical and Electronics Engineers,Architecture and Engineering
467,1420,26,73771,Environmental Engineers,Architecture and Engineering
468,1430,29.9,72245,"Industrial Engineers, including Health and Safety",Architecture and Engineering
469,1440,31.3,80000,Marine Engineers and Naval Architects,Architecture and Engineering
470,1450,27.6,73084,Materials Engineers,Architecture and Engineering
471,1460,24.3,76933,Mechanical Engineers,Architecture and Engineering
472,1520,24.8,101753,"Petroleum, mining and geological engineers, including mining safety engineers",Architecture and Engineering
473,1530,24.5,85000,Misc. engineeers including nuclear engineers,Architecture and Engineering
474,1540,32.9,46000,Drafters,Architecture and Engineering
475,1550,38.5,49056,"Engineering Technicians, Except Drafters",Architecture and Engineering
476,1560,38.9,40046,Surveying and Mapping Technicians,Architecture and Engineering
